,sentence,difficulty
373,Je suis une fleur.,A1
374,"- Mais les bêtes...

- Il faut bien que je supporte deux ou trois chenilles si je veux connaître les papillons.",B1
375,Il paraît que c'est tellement beau.,A2
376,Sinon qui me rendra visite ?,A1
377,"Tu seras loin, toi.",A2
378,"Quant aux grosses bêtes, je ne crains rien.",A2
379,J'ai mes griffes.,A1
380,Et elle montrait naïvement ses quatre épines.,C1
381,"Puis elle ajouta :

- Ne traîne pas comme ça, c'est agaçant.",B1
382,Tu as décidé de partir.,A1
383,Va-t'en.,A1
384,Car elle ne voulait pas qu'il la vît pleurer.,A2
385,Le premier était habité par un roi.,A2
386,"Le roi siégeait, habillé de pourpre et d'hermine, sur un trône très simple et cependant majestueux.",B2
387,- Ah !,A1
388,"Voilà un sujet, s'écria le roi quand il aperçut le petit prince.",B1
389,"Et le petit prince se demanda

""Comment peut-il me reconnaître puisqu'il ne m'a encore jamais vu ?""",A2
390,"il ne savait pas que, pour les rois, le monde est très simplifié.",B1
391,Tous les hommes sont des sujets.,A2
392,"- Approche-toi que je te voie mieux, lui dit le roi qui était tout fier d'être enfin roi pour quelqu'un.",B1
393,"Le petit prince chercha des yeux où s'asseoir, mais la planète était tout encombrée par le magnifique manteau d'hermine.",B1
394,"Il resta donc debout, et, comme il était fatigué, il bâilla.",B1
395,"- Il est contraire à l'étiquette de bâiller en présence d'un roi, lui dit le monarque.",B1
396,Je te l'interdis.,A2
397,"- Je ne peux pas m'en empêcher, répondit le petit prince tout confus.",B1
398,"J'ai fait un long voyage et je n'ai pas dormi...

- Alors, lui dit le roi, je t'ordonne de bâiller.",A2
399,Je n'ai vu personne bâiller depuis des années.,A2
400,Les bâillements sont pour moi des curiosités.,B2
401,Allons !,A1
402,bâille encore.,B2
403,C'est un ordre.,A2
404,- Ça m'intimide... je ne peux plus... fit le petit prince tout rougissant.,B2
405,- Hum !,A1
406,hum !,A1
407,répondit le roi.,B1
408,"Alors je... je t'ordonne tantôt de bâiller et tantôt de...

Il bredouillait un peu et paraissait vexé.",B2
409,Car le roi tenait essentiellement à ce que son autorité fût respectée.,B1
410,Il ne tolérait pas la désobéissance.,B1
411,C'était un monarque absolu.,B1
412,"Mais, comme il était très bon, il donnait des ordres raisonnables.",A2
413,"""Si j'ordonnais, disait-il couramment, si j'ordonnais à un général de se changer en oiseau de mer, et si le général n'obéissait pas, ce ne serait pas la faute du général.",B1
414,"Ce serait ma faute.""",A2
415,- Puis-je m'asseoir ?,A1
416,S'enquit timidement le petit prince.,B2
417,"- Je t'ordonne de t'asseoir, lui répondit le roi, qui ramena majestueusement un pan de son manteau d'hermine.",B2
418,Mais le petit prince s'étonnait.,A2
419,La planète était minuscule.,A2
420,Sur quoi le roi pouvait-il bien régner ?,B1
421,"- Sire .... Lui dit-il, je vous demande pardon de vous interroger ...

- Je t'ordonne de m'interroger, se hâta de dire le roi.",B1
422,- Sire... sur quoi régnez-vous ?,B1
423,"- Sur tout, répondit le roi, avec une grande simplicité.",B1
424,- Sur tout ?,A2
425,"Le roi d'un geste discret désigna sa planète, les autres planètes et les étoiles.",B2
426,- Sur tout ça ?,A2
427,dit le petit prince.,A2
428,- Sur tout ça... répondit le roi.,A2
429,Car non seulement c'était un monarque absolu mais c'était un monarque universel.,B1
430,- Et les étoiles vous obéissent ?,A2
431,"- Bien sûr, lui dit le roi.",A2
432,Elles obéissent aussitôt.,B2
433,Je ne tolère pas l'indiscipline.,A2
434,Un tel pouvoir émerveilla le petit prince.,B2
435,"S'il l'avait détenu lui-même, il aurait pu assister, non pas à quarante quatre, mais à soixante-douze, ou même a cent, ou même à deux cents couchers de soleil dans la même journée, sans avoir jamais à tirer sa chaise !",B2
436,"Et comme il se sentait un peu triste à cause du souvenir de sa petite planète abandonnée, il s'enhardit à solliciter une grâce du roi :

- Je voudrais voir un coucher de soleil... Faites-moi plaisir... Ordonnez au soleil de se coucher...

- Si j'ordonnais à un général de voler d'une fleur à l'autre à la façon d'un papillon, ou d'écrire une tragédie, ou de se changer en oiseau de mer, et si le général n'exécutait pas l'ordre reçu, qui, de lui ou de moi, serait dans son tort ?",B1
437,"- Ce serait vous, dit fermement le petit prince.",B1
438,- Exact.,A1
439,"Il faut exiger de chacun ce que chacun peut donner, reprit le roi.",A2
440,L'autorité repose d'abord sur la raison.,B1
441,"Si tu ordonnes à ton peuple d'aller se jeter à la mer, il fera la révolution.",A2
442,J'ai le droit d'exiger l'obéissance parce que mes ordres sont raisonnables.,B1
443,- Alors mon coucher de soleil?,A2
444,Rappela le petit prince qui jamais n'oubliait une question une fois qu'il l'avait posée.,B1
445,- Ton coucher de soleil tu l'auras.,A2
446,Je l'exigerai.,B1
447,"Mais j'attendrai, dans ma science du gouvernement, que les conditions soient favorables.",C2
448,- Quand ça sera-t-il ?,A2
449,S'informa le petit prince.,B1
450,- Hem !,A2
451,hem !,A1
452,"Lui répondit le roi, qui consulta d'abord un gros calendrier, hem !",C1
453,hem !,A1
454,"Ce sera, vers... vers... ce sera ce soir vers sept heures quarante !",A1
455,Et tu verras comme je suis bien obéi.,A2
456,Le petit prince bâilla.,A2
457,"Il regrettait son coucher de soleil manqué, Et puis il s'ennuyait déjà un peu :

- Je n'ai plus rien à faire ici, dit-il au roi.",B1
458,Je vais repartir !,A1
459,"- Ne pars pas, répondit le roi qui était si fier d'avoir un sujet.",B1
460,"Ne pars pas, je te fais ministre

- Ministre de quoi ?",A2
461,"- De... de la justice

- Mais il n'y a personne à juger

- On ne sait pas, lui dit le roi.",A2
462,Je n'ai pas fait encore le tour de mon royaume.,A2
463,"Je suis très vieux, je n'ai pas de place pour un carrosse, et ça me fatigue de marcher.",A2
464,Oh !,A1
465,"Mais j'ai déjà vu, dit le petit prince qui se pencha pour jeter encore un coup d'oeil sur l'autre côté de la planète.",A2
466,"Il n'y a personne là-bas non plus...

- Tu te jugeras donc toi-même, lui répondit le roi.",A2
467,C'est le plus difficile.,A1
468,Il est bien plus difficile de se juger soi-même que de juger autrui.,B1
469,"Si tu réussis à bien te juger, c'est que tu es un véritable sage.",B1
470,"- Moi, dit le petit prince, je puis me juger moi-même n'importe où.",B1
471,Je n'ai pas besoin d'habiter ici.,A1
472,- Hem !,A2
473,hem !,A1
474,"dit le roi, je crois bien que sur ma planète il y a quelque part un vieux rat.",A2
475,Je l'entends la nuit.,A2
476,Tu pourras juger ce vieux rat.,A2
477,Tu le condamneras à mort de temps en temps.,B1
478,Ainsi sa vie dépendra de ta justice.,B1
479,Mais tu le gracieras chaque fois pour l'économiser.,B1
480,Il n'y en a qu'un.,A2
481,"- Moi, répondit le petit prince, je n'aime pas condamner à mort, et je crois bien que je m'en vais.",A2
482,"- Non, dit le roi.",A2
483,"Mais le petit prince, ayant achevé ses préparatifs, ne voulut point peiner le vieux monarque :

- Si Votre Majesté désirait être obéie ponctuellement, elle pourrait me donner un ordre raisonnable.",C1
484,"Elle pourrait m'ordonner, par exemple, de partir avant une minute.",A2
485,Il me semble que les conditions sont favorables... .,B1
486,"Le roi n'ayant rien répondu, le petit prince hésita d'abord, puis, avec un soupir, prit le départ.",B2
487,"- Je te fais mon ambassadeur, se hâta alors de crier le roi.",B2
488,Il avait un grand air d'autorité.,A2
489,"""Les grandes personnes sont bien étranges"", se dit le petit prince, en lui-même, durant son voyage.",B1
490,"Voilà la visite d'un admirateur

S'écria de loin le vaniteux dès qu'il aperçut le petit prince.",B2
491,"Car, pour les vaniteux, les autres hommes sont des admirateurs.",B2
492,"- Bonjour, dit le petit prince.",A2
493,Vous avez un drôle de chapeau.,A1
494,"- C'est pour saluer, lui répondit le vaniteux.",B1
495,C'est pour saluer quand on m'acclame.,A2
496,Malheureusement il ne passe jamais personne par ici.,A2
497,- Ah oui ?,A2
498,dit le petit prince qui ne comprit pas.,A2
499,"- Frappe tes mains l'une contre l'autre, conseilla donc le vaniteux.",B2
500,Le petit prince frappa ses mains l'une contre l'autre.,A2
501,Le vaniteux salua modestement en soulevant son chapeau.,C1
502,"Ça c'est plus amusant que la visite au roi, se dit en, lui-même le petit prince.",A2
503,Et il recommença de frapper ses mains l'une contre l'autre.,B1
504,Le vaniteux recommença de saluer en soulevant son chapeau.,C1
505,"Après cinq minutes d'exercice le petit prince se fatigua de la monotonie du jeu

Et pour que le chapeau tombe, demanda-t-il, -que faut-il faire ?",C2
506,Mais le vaniteux ne l'entendit pas.,B2
507,Les vaniteux n'entendent jamais que les louanges.,B2
508,Est-ce que tu m'admires vraiment beaucoup ?,A2
509,demanda-t-il au petit prince.,A2
510,- Qu'est-ce que signifie admirer ?,A2
511,"- Admirer signifie reconnaître que je suis l'homme le plus beau, le mieux habillé, le plus riche et le plus intelligent de la planète.",A2
512,"- Mais tu es seul sur ta planète

- Fais-moi ce plaisir.",A2
513,"Admire-moi quand même

- Je t'admire, dit le petit prince, en haussant un peu les épaules, mais en quoi cela peut-il bien t'intéresser ?",B1
514,Et le petit prince s'en fut.,A2
515,"""Les grandes personnes sont décidément bien bizarres"", se dit-il simplement en lui-même durant son voyage.",B1
516,"Cette visite fut très courte mais elle plongea le petit prince dans une grande mélancolie :

- Que fais-tu là ?",B1
517,"dit-il au buveur, qu'il trouva installé en silence devant une collection de bouteilles vides et une collection de bouteilles pleines.",B2
518,"- Je bois, répondit le buveur, d'un air lugubre.",C1
519,- Pourquoi bois-tu ?,A2
520,Lui demanda le petit prince.,A2
521,"- Pour oublier, répondit le buveur.",B2
522,- Pour oublier quoi ?,A2
523,S'enquit le petit prince qui déjà le plaignait.,B2
524,"- Pour oublier que j'ai honte, avoua le buveur en baissant la tête.",B2
525,- Honte de quoi ?,A2
526,S'informa le petit prince qui désirait le secourir.,B1
527,- Honte de boire !,A2
528,Acheva le buveur qui s'enferma définitivement dans le silence.,B2
529,"Et le petit prince s'en fut, perplexe.",A2
530,"""Les grandes personnes sont décidément très très bizarres"", se disait-il en lui-même durant le voyage.",B1
531,Cet homme était si occupé qu'il ne leva même pas la tête à l'arrivée du petit prince.,A2
532,"- Bonjour, lui dit celui-ci.",A2
533,Votre cigarette est éteinte.,A1
534,- Trois et deux font cinq.,A2
535,Cinq et sept douze.,A1
536,Douze et trois quinze.,B2
537,Bonjour.,A1
538,Quinze et sept vingt-deux.,B2
539,Vingt-deux et six vingt-huit.,A1
540,Pas le temps de la rallumer.,A2
541,Vingt-six et cinq trente et un.,B2
542,Ouf !,A1
543,Ça fait donc cinq cent un millions six cent vingt-deux mille sept cent trente et un.,C1
544,- Cinq cents millions de quoi ?,B2
545,- Hein?,A2
546,Tu es toujours là ?,A1
547,Cinq cent un millions de... je ne sais plus... J'ai tellement de travail !,A2
548,"Je suis sérieux, moi, je ne m'amuse pas à des balivernes !",A2
549,"Deux et cinq sept...
- Cinq cent un millions de quoi ?",B2
550,"Répéta le petit prince qui jamais de sa vie n'avait renoncé à une question, une fois qu'il l'avait posée.",B1
551,"Le businessman leva la tête

- Depuis cinquante-quatre ans que j'habite cette planète-ci, je n'ai été dérangé que trois fois.",B1
552,"La première fois ç'a été, il y a vingt-deux ans, par un hanneton qui était tombé Dieu sait d'où.",A2
553,"Il répandait un bruit épouvantable, et j 'ai fait quatre erreurs dans une addition.",B2
554,"La seconde fois ç'a été, il y a onze ans, par une crise de rhumatisme.",A2
555,Je manque d'exercice.,A1
556,Je n'ai pas le temps de flâner.,A2
557,"Je suis sérieux, moi.",A1
558,La troisième fois... la voici !,A1
559,"Je disais donc cinq cent un millions...

- Millions de quoi ?",B2
560,"Le businessman comprit qu'il n'était point d'espoir de paix :

- Millions de ces petites choses que l'on voit quelquefois dans le ciel.",B1
561,- Des mouches ?,A2
562,"- Mais non, des petites choses qui brillent.",A2
563,- Des abeilles ?,A1
564,- Mais non.,A2
565,Des petites choses dorées qui font rêvasser les fainéants.,B2
566,"Mais je suis sérieux, moi !",A2
567,Je n'ai pas le temps de rêvasser.,A2
568,- Ah !,A1
569,Des étoiles ?,A1
570,- C'est bien ça.,A1
571,Des étoiles.,A1
572,- Et que fais-tu de cinq cents millions d'étoiles ?,A2
573,- Cinq cent un millions six cent vingt-deux mille sept cent trente et un.,C1
574,"Je suis sérieux, moi, je suis précis.",A1
575,- Et que fais-tu de ces étoiles ?,A2
576,- Ce que j'en fais ?,A2
577,- Oui.,A1
578,- Rien.,A2
579,Je les possède.,A2
580,- Tu possèdes les étoiles ?,A2
581,- Oui.,A1
582,"- Mais j'ai déjà vu un roi qui...

- Les rois ne possèdent pas.",A2
583,"Ils""règnent""sur.",B2
584,C'est très différent.,A1
585,"- Et à quoi cela te sert-il de posséder les étoiles

- ça me sert à être riche.",A2
586,- Et à quoi cela te sert-il d'être riche ?,A2
587,"- À acheter d'autres étoiles, si quelqu'un en trouve.",A2
588,"""Celui-là, se dit en lui-même le petit prince, il raisonne un peu comme mon ivrogne.""",B1
589,"Cependant il posa encore des questions :

- Comment peut-on posséder les étoiles ?",B1
590,- À qui sont-elles ?,A2
591,"Riposta, grincheux, le businessman.",C1
592,- Je ne sais pas.,A1
593,À personne.,A1
594,"- Alors elles sont à moi, car j'y ai pensé le premier

- Ça suffit ?",A2
595,- Bien sûr.,A2
596,"Quand tu trouves un diamant qui n'est à personne, il est à toi.",A2
597,"Quand tu trouves une île qui n'est à personne, elle est à toi.",A2
598,"Quand tu as une idée le premier, tu la fais breveter : elle est à toi.",A2
599,"Et moi je possède les étoiles, puisque jamais personne avant moi n'a songé à les posséder.",B1
600,"- Ça c'est vrai, dit le petit prince.",A2
601,Et qu'en fais-tu ?,A2
602,- Je les gère.,A2
603,"Je les compte et je les recompte, dit le businessman.",A2
604,C'est difficile.,A1
605,Mais je suis un homme sérieux !,A2
606,Le petit prince n'était pas satisfait encore.,A2
607,"- Moi, si je possède un foulard, je puis le mettre autour de mon cou et l'emporter.",B1
608,"Moi, si je possède une fleur, je puis cueillir ma fleur et l'emporter.",B1
609,Mais tu ne peux pas cueillir les étoiles !,A2
610,"- Non, mais je puis les placer en banque.",A2
611,- Qu'est-ce que ça veut dire ?,A1
612,- ça veut dire que j'écris sur un petit papier le nombre de mes étoiles.,A2
613,Et puis j'enferme à clef ce papier là dans un tiroir.,A2
614,- Et c'est tout ?,A2
615,- Ça suffit !,A2
616,"""C'est amusant, pensa le petit prince.",A2
617,C'est assez poétique.,A2
618,"Mais ce n'est pas très sérieux.""",A2
619,Le petit prince avait sur les choses sérieuses des idées très différentes des idées des grandes personnes.,B1
620,"- Moi, dit-il encore, je possède une fleur que j'arrose tous les jours.",B1
621,Je possède trois volcans que je ramone toutes les semaines.,B2
622,Car je ramone aussi celui qui est éteint.,A2
623,On ne sait jamais.,A2
624,"C'est utile à mes volcans, et c'est utile à ma fleur, que je les possède.",B1
625,Mais tu n'es pas utile aux étoiles.,A2
626,"Le businessman ouvrit la bouche mais né trouva rien à répondre, et le petit prince s'en fut.",B1
627,"""Les grandes personnes sont décidément tout à fait extraordinaires"", se disait-il simplement en lui-même durant le voyage.",B1
628,C'était la plus petite de toutes.,A2
629,Il y avait là juste assez de place pour loger un réverbère et un allumeur de réverbères.,B1
630,"Le petit prince ne parvenait pas à s'expliquer à quoi pouvaient servir, quelque part dans le ciel, sur une planète sans maison, ni population, un réverbère et un allumeur de réverbères.",B1
631,"Cependant il se dit en lui-même :

""Peut-être bien que cet homme est absurde.",B1
632,"Cependant il est moins absurde que le roi, que le vaniteux, que le businessman et que le buveur.",B2
633,Au moins son travail a-t-il un sens.,B1
634,"Quand il allume son réverbère, c'est comme s'il faisait naître une étoile de plus, ou une fleur.",B1
635,"Quand il éteint son réverbère, ça endort la fleur ou l'étoile.",B1
636,C'est une occupation très jolie.,A2
637,"C'est véritablement utile puisque c'est joli.""",B1
638,"Lorsqu'il aborda la planète il salua respectueusement l'allumeur :

- Bonjour.",C1
639,Pourquoi viens-tu d'éteindre ton réverbère ?,A2
640,"- C'est la consigne, répondit l'allumeur.",A2
641,Bonjour.,A1
642,- Qu'est-ce que la consigne ?,A1
643,- C'est d'éteindre mon réverbère.,A2
644,Bonsoir.,A1
645,Et il le ralluma.,B1
646,- Mais pourquoi viens-tu de le rallumer ?,A2
647,"- C'est la consigne, répondit l'allumeur.",A2
648,"- Je ne comprends pas, dit le petit prince.",A2
649,"- Il n'y a rien à comprendre, dit l'allumeur.",A2
650,La consigne c'est la consigne.,A2
651,Bonjour.,A1
652,Et il éteignit son réverbère.,B2
653,Puis il s'épongea le front avec un mouchoir à carreaux rouges.,B1
654,- Je fais là un métier terrible.,A2
655,C'était raisonnable autrefois.,B1
656,J'éteignais le matin et j'allumais le soir.,A2
657,"J'avais le reste du jour pour me reposer, et le reste de la nuit pour dormir...

- Et, depuis cette époque, la consigne a changé?",A2
658,"- La consigne n'a pas changé, dit l'allumeur.",A2
659,C'est bien là le drame !,A2
660,"La planète d'année en année a tourné de plus en plus vite, et la consigne n'a pas changé

- Alors ?",A2
661,dit le petit prince.,A2
662,"- Alors maintenant qu'elle fait un tour par minute, je n'ai plus une seconde de repos.",A2
663,J'allume et j'éteins une fois par minute !,A2
664,- Ça c'est drôle !,A1
665,Les jours chez toi durent une minute !,A2
666,"- Ce n'est pas drôle du tout, dit l'allumeur.",A2
667,Ça fait déjà un mois que nous parlons ensemble.,A2
668,- Un mois ?,A1
669,Oui.,A1
670,Trente minutes.,A1
671,Trente jours !,A1
672,Bonsoir.,A1
673,Et il ralluma son réverbère.,B2
674,Le petit prince le regarda et aima cet allumeur qui était tellement fidèle à la consigne.,B1
675,"Il se souvint des couchers de soleil que lui-même allait autrefois chercher, en tirant sa chaise.",B2
676,"Il voulut aider son ami :

- Tu sais... je connais un moyen de te reposer quand tu voudras...

- Je veux toujours, dit l'allumeur.",B1
677,"Car on peut être, à la fois, fidèle et paresseux.",B1
678,"Le petit prince poursuivit :

- Ta planète est tellement petite que tu en fais le tour en trois enjambées.",B1
679,Tu n'as qu'à marcher assez lentement pour rester toujours au soleil.,A2
680,Quand tu voudras te reposer tu marcheras... et le jour durera aussi longtemps que tu voudras.,B1
681,"- ça ne m'avance pas à grand-chose, dit l'allumeur.",A2
682,"Ce que j'aime dans la vie, c'est dormir.",A1
683,"- Ce n'est pas de chance, dit le petit prince.",A2
684,"- Ce n'est pas de chance, dit l'allumeur.",A2
685,Bonjour.,A1
686,Et il éteignit son réverbère.,B2
687,"""Celui-là, se dit le petit prince, tandis qu'il poursuivait plus loin son voyage, celui-là serait méprisé par tous les autres, par le roi, par le vaniteux, par le buveur, par le businessman.",B1
688,"Cependant, c'est le seul qui ne me paraisse pas ridicule.",B1
689,"C'est, peut-être, parce qu'il s'occupe d'autre chose que de soi-même.""",A2
690,"Il eut un soupir de regret et se dit encore

""Celui-là est le seul dont j'eusse pu faire mon ami.",B2
691,Mais sa planète est vraiment trop petite.,A2
692,"Il n'y a pas de place pour deux...""

Ce que le petit prince n'osait pas s'avouer, c'est qu'il regrettait cette planète bénie à cause, surtout, des mille quatre cent quarante couchers de soleil par vingt-quatre heures !",B1
693,Elle était habitée par un vieux Monsieur qui écrivait d'énormes livres.,B1
694,- Tiens !,A2
695,Voilà un explorateur !,B2
696,"S'écria-t-il, quand il aperçut le petit prince.",B1
697,Le petit prince s'assit sur la table et souffla un peu.,A2
698,Il avait déjà tant voyagé !,B1
699,- D'où viens-tu ?,A2
700,Lui dit le vieux Monsieur.,A2
701,- Quel est ce gros livre ?,A1
702,dit le petit prince.,A2
703,Que faites-vous ici ?,A1
704,"- Je suis géographe, dit le vieux Monsieur.",A2
705,- Qu'est-ce qu'un géographe ?,A1
706,"- C'est un savant qui connaît où se trouvent les mers, les fleuves, les villes, les montagnes et les déserts.",B1
707,"- Ça c'est bien intéressant, dit le petit prince.",A2
708,Ça c'est enfin un véritable métier !,A2
709,Et il jeta un coup d'oeil autour de lui sur la planète du géographe.,B2
710,Il n'avait jamais vu encore une planète aussi majestueuse.,A2
711,"- Elle est bien belle, votre planète.",A2
712,Est-ce qu'il y a des océans ?,A1
713,"- Je ne puis pas le savoir, dit le géographe'

- Ah !",B1
714,(Le petit prince était déçu.),A2
715,Et des montagnes ?,A1
716,"- Je ne puis pas le savoir, dit le géographe.",A2
717,- Et des villes et des fleuves et des déserts ?,B1
718,"- Je ne puis pas le savoir non plus, dit le géographe.",A2
719,- Mais vous êtes géographe !,A2
720,"- C'est exact, dit le géographe, mais je ne suis pas explorateur.",B1
721,Je manque absolument d'explorateurs.,B2
722,"Ce n'est pas le géographe qui va faire le compte des villes, des fleuves, des montagnes, des mers, des océans et des déserts.",B1
723,Le géographe est trop important pour flâner.,B2
724,Il ne quitte pas son bureau.,A2
725,Mais il y reçoit les explorateurs.,B1
726,"Il les interroge, et il prend en note leurs souvenirs.",B1
727,"Et si les souvenirs de l'un d'entre eux lui paraissent intéressants, le géographe fait faire une enquête sur la moralité de l'explorateur.",C1
728,- Pourquoi ça ?,A2
729,- Parce qu'un explorateur qui mentirait entraînerait des catastrophes dans les livres de géographie.,B2
730,Et aussi un explorateur qui boirait trop.,B1
731,- Pourquoi ça ?,A2
732,fit le petit prince.,A2
733,- Parce que les ivrognes voient double.,B2
734,Alors le géographe noterait deux montagnes là où il n'y en a qu'une seule.,B1
735,"- Je connais quelqu'un, dit le petit prince, qui serait mauvais explorateur.",B1
736,- C'est possible.,A2
737,"Donc, quand la moralité de l'explorateur paraît bonne, on fait une enquête sur sa découverte.",B1
738,- On va voir ?,A1
739,- Non.,A1
740,C'est trop compliqué.,A1
741,Mais on exige de l'explorateur qu'il fournisse des preuves.,B1
742,"S'il s'agit par exemple de la découverte d'une grosse montagne, on exige qu'il en rapporte de grosses pierres.",B1
743,Le géographe soudain s'émut.,C2
744,"- Mais toi, tu viens de loin !",A2
745,Tu es explorateur !,A1
746,Tu vas me décrire ta planète !,A2
747,"Et le géographe, ayant ouvert son registre, tailla son crayon.",C1
748,On note d'abord au crayon les récits des explorateurs.,C1
749,"On attend, pour noter à l'encre, que l'explorateur ait fournie des preuves.",B2
750,- Alors ?,A2
751,Interrogea le géographe.,B2
752,- Oh !,A2
753,"Chez moi, dit le petit prince, ce n'est pas très intéressant, c'est tout petit.",A2
754,J'ai trois volcans.,A1
755,"Deux volcans en activité, et un volcan éteint.",B2
756,Mais on ne sait jamais.,A2
757,"- On ne sait jamais, dit le géographe.",B1
758,- J'ai aussi une fleur.,A1
759,"- Nous ne notons pas les fleurs, dit le géographe.",B1
760,- Pourquoi ça !,A2
761,C'est le plus joli !,A1
762,- Parce que les fleurs sont éphémères.,B1
763,"- Qu'est-ce que signifie""éphémère""?",B1
764,"- Les géographies, dit le géographe, sont les livres les plus précieux de tous les livres.",B2
765,Elles ne se démodent jamais.,B2
766,Il est très rare qu'une montagne change de place.,A2
767,Il est très rare qu'un océan se vide de son eau.,A2
768,Nous écrivons des choses éternelles.,B2
769,"- Mais les volcans éteints peuvent se réveiller, interrompit le petit prince.",B2
770,"Qu'est-ce que signifie""éphémère""?",B2
771,"- Que les volcans soient éteints ou soient éveillés, ça revient au même pour nous autres, dit le géographe.",B2
772,"Ce qui compte pour nous, c'est la montagne.",A2
773,Elle ne change pas.,A2
774,"- Mais qu'est-ce que signifie""éphémère""?",B1
775,"répéta le petit prince qui, de sa vie, n'avait renoncé à une question, une fois qu'il l'avait posée.",B1
776,"- Ça signifie""qui est menacé de disparition prochaine"".",B1
777,- Ma fleur est menacée de disparition prochaine ?,B1
778,- Bien sûr.,A2
779,"""Ma fleur est éphémère, se dit le petit prince, et elle n'a que quatre épines pour se défendre contre le monde !",B1
780,"Et je l'ai laissée toute seule chez moi !""",A2
781,Ce fut là son premier mouvement de regret.,B2
782,"Mais il reprit courage :

Que me conseillez-vous d'aller visiter ?",B1
783,"demanda-

La planète Terre, lui répondit le géographe.",B2
784,Elle a une bonne réputation...,B1
785,"Et le petit prince s'en fut, songeant à sa fleur.",A2
786,La Terre n'est pas une planète quelconque !,A2
787,"On y compte cent onze rois (en n'oubliant pas, bien sûr, les rois nègres), sept mille géographes, neuf cent mille businessman, sept millions et demi d'ivrognes, trois cent onze millions de vaniteux, c'est-à-dire environ deux milliards de grandes personnes.",C1
788,"Pour vous donner une idée des dimensions de la Terre je vous dirai qu'avant l'invention de l'électricité on y devait entretenir, sur l'ensemble des six continents, une véritable armée de quatre cent soixante-deux mille cinq cent onze allumeurs de réverbères.",C1
789,Vu d'un peu loin ça faisait un effet splendide.,A2
790,Les mouvements de cette armée étaient réglés comme ceux d'un ballet d'opéra.,B2
791,D'abord venait le tour des allumeurs de réverbères de Nouvelle-Zélande et d'Australie.,B2
792,"Puis ceux-ci, ayant allumé leurs lampions, s'en allaient dormir.",B2
793,Alors entraient à leur tour dans la danse les allumeurs de réverbères de Chine et de Sibérie.,C1
794,Puis eux aussi s'escamotaient dans les coulisses.,B2
795,Alors venait le tour des allumeurs de réverbères de Russie et des Indes.,B2
796,Puis de ceux d'Afrique et d'Europe.,B1
797,Puis de ceux d'Amérique du Sud.,B1
798,Puis de ceux d'Amérique du Nord.,B1
799,Et jamais ils ne se trompaient dans leur ordre d'entrée en scène.,B2
800,C'était grandiose.,A2
801,"Seuls, l'allumeur de l'unique réverbère du pôle Nord, et son confrère de l'unique réverbère du pôle Sud, menaient des vies d'oisiveté et de nonchalance : ils travaillaient deux fois par an.",C2
802,Je n'ai pas été très honnête en vous parlant des allumeurs de réverbères.,B1
803,Je risque de donner une fausse idée de notre planète à ceux qui ne la connaissent pas.,A2
804,Les hommes occupent très peu de place sur la terre.,A2
805,"Si les deux milliards d'habitants qui peuplent la terre se tenaient debout et un peu serrés, comme pour un meeting, ils logeraient aisément sur une place publique de vingt milles de long sur vingt milles de large.",B2
806,On pourrait entasser l'humanité sur le moindre petit îlot du Pacifique.,B2
807,"Les grandes personnes, bien sûr, ne vous croiront pas.",A2
808,Elles s'imaginent tenir beaucoup de place.,B1
809,Elles se voient importantes comme des baobabs.,B2
810,Vous leur conseillerez donc de faire le calcul.,B1
811,Elles adorent les chiffres : ça leur plaira.,A2
812,Mais ne perdez pas votre temps à ce pensum.,A2
813,C'est inutile.,A1
814,Vous avez confiance en moi.,A2
815,"Le petit prince, une fois sur terre, fut donc bien surpris de ne voir personne.",A2
816,"Il avait déjà peur de s'être trompé de planète, quand un anneau couleur de lune remua dans le sable.",B1
817,"- Bonne nuit, fit le petit prince à tout hasard.",A2
818,"- Bonne nuit, fit le serpent.",A2
819,- Sur quelle planète suis-je tombé ?,A2
820,demanda le petit prince.,A2
821,"- Sur la Terre, en Afrique, répondit le serpent.",B1
822,- Ah !,A1
823,... Il n'y a donc personne sur la Terre ?,A2
824,- Ici c'est le désert.,A2
825,Il n'y a personne dans les déserts.,A2
826,"La Terre est grande, dit le serpent.",A1
827,"Le petit prince s'assit sur une pierre et leva les yeux vers le ciel :

- Je me demande, dit-il, si les étoiles sont éclairées afin que chacun puisse un jour retrouver la sienne.",B1
828,Regarde ma planète.,A1
829,Elle est juste au-dessus de nous... Mais comme elle est loin !,A2
830,"- Elle est belle, dit le serpent.",A2
831,Que viens-tu faire ici ?,A2
832,"- J'ai des difficultés avec une fleur, dit le petit prince.",A2
833,- Ah !,A1
834,fit le serpent.,A1
835,Et ils se turent.,A2
836,- Où sont les hommes ?,A2
837,reprit enfin le petit prince.,B2
838,"On est un peu seul dans le désert...

- On est seul aussi chez les hommes, dit le serpent.",A2
839,"Le petit prince le regarda longtemps :

- Tu es une drôle de bête, lui dit-il enfin, mince comme un doigt...

- Mais je suis plus puissant que le doigt d'un roi, dit le serpent.",A2
840,"Le petit prince eut un sourire

- Tu n'es pas bien puissant... tu n'as même pas de Pattes... tu ne Peux même pas voyager.",B1
841,"- Je puis t'emporter plus loin qu'un navire, dit le serpent.",A2
